Date;Certified_Stocks
;Close
19.10.2022;397399
18.10.2022;397399
17.10.2022;397999
14.10.2022;400439
13.10.2022;408419
12.10.2022;416399
11.10.2022;416399
10.10.2022;416719
07.10.2022;416719
06.10.2022;417006
05.10.2022;417306
04.10.2022;417306
03.10.2022;417306
30.09.2022;426180
29.09.2022;435409
28.09.2022;444699
27.09.2022;449775
26.09.2022;460387
23.09.2022;472006
22.09.2022;485408
21.09.2022;500488
20.09.2022;515064
19.09.2022;532448
16.09.2022;532448
15.09.2022;563766
14.09.2022;575455
13.09.2022;585215
12.09.2022;602742
09.09.2022;615822
08.09.2022;624470
07.09.2022;613713
06.09.2022;630424
02.09.2022;635196
01.09.2022;670681
31.08.2022;672585
30.08.2022;671994
29.08.2022;663874
26.08.2022;658857
25.08.2022;660077
24.08.2022;663780
23.08.2022;653667
22.08.2022;627750
19.08.2022;610680
18.08.2022;596775
17.08.2022;581342
16.08.2022;577212
15.08.2022;571580
12.08.2022;571905
11.08.2022;571905
10.08.2022;591959
09.08.2022;610159
08.08.2022;630304
05.08.2022;660564
04.08.2022;665933
03.08.2022;695135
02.08.2022;700005
01.08.2022;700005
29.07.2022;700050
28.07.2022;700050
27.07.2022;700335
26.07.2022;703310
25.07.2022;704848
22.07.2022;705727
21.07.2022;712817
20.07.2022;718617
19.07.2022;727222
18.07.2022;734157
15.07.2022;740167
14.07.2022;750702
13.07.2022;759695
12.07.2022;769446
11.07.2022;782726
08.07.2022;789981
07.07.2022;805077
06.07.2022;813845
05.07.2022;823350
01.07.2022;854584
30.06.2022;887431
29.06.2022;926536
28.06.2022;931591
27.06.2022;951641
24.06.2022;955661
23.06.2022;969421
22.06.2022;975821
21.06.2022;981901
17.06.2022;991657
16.06.2022;998627
15.06.2022;1007750
14.06.2022;1012750
13.06.2022;1012750
10.06.2022;1017300
09.06.2022;1020880
08.06.2022;1021800
07.06.2022;1025680
06.06.2022;1028352
03.06.2022;1023477
02.06.2022;1030616
01.06.2022;1043879
31.05.2022;1060498
27.05.2022;1078765
26.05.2022;1081923
25.05.2022;1090155
24.05.2022;1099748
23.05.2022;1101673
20.05.2022;1104948
19.05.2022;1108296
18.05.2022;1111004
17.05.2022;1108936
16.05.2022;1114549
13.05.2022;1117719
12.05.2022;1113129
