Date;LRC-TOT-VG (COMM_LAST)
;Close
03.4.2023;7531
31.3.2023;7538
30.3.2023;7517
29.3.2023;7516
28.3.2023;7550
27.3.2023;7550
24.3.2023;7630
23.3.2023;7697
22.3.2023;7697
21.3.2023;7586
20.3.2023;7591
17.3.2023;7596
16.3.2023;7538
15.3.2023;7433
14.3.2023;7391
13.3.2023;7306
10.3.2023;7377
09.3.2023;7385
08.3.2023;7426
07.3.2023;7371
06.3.2023;7374
03.3.2023;7289
02.3.2023;7198
01.3.2023;7012
28.2.2023;7013
27.2.2023;6856
24.2.2023;6718
23.2.2023;6565
22.2.2023;6471
21.2.2023;6354
20.2.2023;6263
17.2.2023;6120
16.2.2023;6005
15.2.2023;5933
14.2.2023;5935
13.2.2023;5954
10.2.2023;5955
09.2.2023;5955
08.2.2023;5963
07.2.2023;5965
06.2.2023;5984
03.2.2023;6039
02.2.2023;6166
01.2.2023;6176
31.1.2023;6182
30.1.2023;6212
27.1.2023;6219
26.1.2023;6252
25.1.2023;6266
24.1.2023;6266
23.1.2023;6334
20.1.2023;6362
19.1.2023;6378
18.1.2023;6422
17.1.2023;6424
16.1.2023;6426
13.1.2023;6426
12.1.2023;6449
11.1.2023;6453
09.1.2023;6402
06.1.2023;6402
05.1.2023;6397
04.1.2023;6401
03.1.2023;6426
30.12.2022;6426
29.12.2022;6426
28.12.2022;6434
23.12.2022;6508
22.12.2022;6533
21.12.2022;6551
20.12.2022;6566
19.12.2022;6470
16.12.2022;6996
15.12.2022;7406
14.12.2022;7412
13.12.2022;7448
12.12.2022;7450
09.12.2022;7455
08.12.2022;7626
07.12.2022;7754
06.12.2022;7785
05.12.2022;8079
02.12.2022;8101
01.12.2022;8526
30.11.2022;8550
29.11.2022;8552
28.11.2022;8670
25.11.2022;8674
24.11.2022;8717
23.11.2022;8693
22.11.2022;8710
21.11.2022;8705
18.11.2022;8773
17.11.2022;8743
16.11.2022;8754
15.11.2022;8757
14.11.2022;8768
11.11.2022;9017
10.11.2022;9018
09.11.2022;9032
08.11.2022;9058
07.11.2022;9174
04.11.2022;9152
03.11.2022;9165
02.11.2022;9089
01.11.2022;9023
31.10.2022;9055
28.10.2022;8975
27.10.2022;8869
26.10.2022;8880
25.10.2022;8943
24.10.2022;8981
21.10.2022;8942
20.10.2022;8869
19.10.2022;8890
18.10.2022;8934
17.10.2022;9148
14.10.2022;9190
13.10.2022;9250
12.10.2022;9317
11.10.2022;9256
10.10.2022;9301
07.10.2022;9306
06.10.2022;9394
05.10.2022;9570
04.10.2022;9490
03.10.2022;9421
29.9.2022;9396
28.9.2022;9403
27.9.2022;9435
26.9.2022;9438
23.9.2022;9396
22.9.2022;9483
21.9.2022;9358
20.9.2022;9214
16.9.2022;9107
15.9.2022;8982
14.9.2022;8909
13.9.2022;8885
12.9.2022;9135
09.9.2022;9117
08.9.2022;9122
07.9.2022;9122
06.9.2022;9122
05.9.2022;9099
02.9.2022;9462
01.9.2022;9475
31.8.2022;9560
30.8.2022;9576
26.8.2022;9579
25.8.2022;9586
24.8.2022;9596
23.8.2022;9648
22.8.2022;9671
19.8.2022;9674
18.8.2022;9744
17.8.2022;9817
16.8.2022;9818
15.8.2022;9818
12.8.2022;9786
11.8.2022;9797
10.8.2022;9972
09.8.2022;10009
08.8.2022;10044
05.8.2022;10106
04.8.2022;10210
03.8.2022;10229
02.8.2022;10249
01.8.2022;10287
29.7.2022;10312
28.7.2022;10630
27.7.2022;10658
26.7.2022;10746
25.7.2022;10770
22.7.2022;10710
21.7.2022;10647
20.7.2022;10760
19.7.2022;10762
18.7.2022;10713
15.7.2022;10750
14.7.2022;10761
13.7.2022;10730
12.7.2022;10690
11.7.2022;10690
08.7.2022;10756
07.7.2022;10559
06.7.2022;10559
05.7.2022;10473
04.7.2022;10801
01.7.2022;10830
30.6.2022;10745
29.6.2022;10622
28.6.2022;10456
27.6.2022;10456
24.6.2022;10461
23.6.2022;10461
22.6.2022;10468
21.6.2022;10381
20.6.2022;10347
17.6.2022;10381
16.6.2022;10282
15.6.2022;10283
14.6.2022;10288
13.6.2022;10291
09.6.2022;10159
08.6.2022;10183
07.6.2022;10058
06.6.2022;10058
01.6.2022;10125
30.5.2022;10135
26.5.2022;10100
25.5.2022;10120
24.5.2022;10267
23.5.2022;10254
19.5.2022;9973
18.5.2022;9838
17.5.2022;9745
16.5.2022;9444
13.5.2022;9477
12.5.2022;9478
11.5.2022;9524
10.5.2022;9534
09.5.2022;9444
06.5.2022;9312
05.5.2022;9216
04.5.2022;9157
03.5.2022;9190
29.4.2022;9209
28.4.2022;9213
27.4.2022;9314
26.4.2022;9314
25.4.2022;9343
22.4.2022;9349
21.4.2022;9351
20.4.2022;9351
19.4.2022;9370
14.4.2022;9370
13.4.2022;9388
12.4.2022;9390
11.4.2022;9393
08.4.2022;9386
06.4.2022;9487
05.4.2022;9489
04.4.2022;9489
01.4.2022;9539
31.3.2022;9691
30.3.2022;9738
29.3.2022;9750
28.3.2022;9750
24.3.2022;9746
23.3.2022;9690
22.3.2022;9733
21.3.2022;9686
18.3.2022;9686
16.3.2022;9562
15.3.2022;9380
